,Year,Station Name,State,rain_sum
324,1994,NOVA XAV  XAVANTINA  ,MT,790.4000000000002
325,1994,OBIDOS ,PA,2037.7000000000003
326,1994,PADRE RICARDO REMETTER ,MT,1163.3000000000004
327,1994,PALMAS ,TO,340.2999999999999
328,1994,PARINTINS ,AM,2504.7
329,1994,PEDRO AFONSO ,TO,945.4
330,1994,PEIXE ,TO,842.8000000000001
331,1994,PORTO DE MOZ ,PA,2502.0999999999995
332,1994,PORTO NACIONAL ,TO,1136.2
333,1994,RIO BRANCO ,AC,2156.900000000002
334,1994,S G DA CACHOEIRA UAUPES  ,AM,2733.8
335,1994,SAO FELIX DO XINGU ,PA,2447.700000000001
336,1994,SAO LUIS ,MA,2720.200000000001
337,1994,SOURE ,PA,3741.099999999999
338,1994,TAGUATINGA ,TO,0.1
339,1994,TARAUACA ,AC,2678.899999999999
340,1994,TEFE ,AM,2312.3000000000015
341,1994,TRACUATEUA ,PA,2490.4
342,1994,TUCURUI ,PA,2473.899999999999
343,1994,TURIACU ,MA,2645.2999999999993
344,1994,ZE DOCA ,MA,2038.8
345,1995,ALTAMIRA ,PA,2066.1
346,1995,ALTO PARNAIBA ,MA,1119.9999999999998
347,1995,ARAGUAINA ,TO,2060.3999999999996
348,1995,BACABAL ,MA,2100.999999999999
349,1995,BALSAS ,MA,1337.6000000000001
350,1995,BARCELOS ,AM,2260.4000000000005
351,1995,BARRA DO CORDA ,MA,1226.7999999999997
352,1995,BELEM ,PA,3291.2999999999997
353,1995,BELTERRA ,PA,2351.9999999999995
354,1995,BENJAMIN CONSTANT ,AM,2315.100000000001
355,1995,BOA VISTA ,RR,1324.4999999999995
356,1995,BREVES ,PA,1206.4
357,1995,CACERES ,MT,1504.5999999999997
358,1995,CAMETA ,PA,2373.2000000000025
359,1995,CANARANA ,MT,84.39999999999998
360,1995,CARACARAI ,RR,1291.0
361,1995,CAROLINA ,MA,1840.999999999999
362,1995,CAXIAS ,MA,1536.4999999999998
363,1995,CHAPADINHA ,MA,1723.6
364,1995,COARI ,AM,2398.3999999999996
365,1995,CODAJAS ,AM,3309.4
366,1995,COLINAS ,MA,1293.0999999999985
367,1995,CONCEICAO DO ARAGUAIA ,PA,2093.6
368,1995,CRUZEIRO DO SUL ,AC,2199.700000000002
369,1995,CUIABA ,MT,1516.4999999999998
370,1995,DIAMANTINO ,MT,2229.7999999999993
371,1995,EIRUNEPE ,AM,2286.200000000003
372,1995,FONTE BOA ,AM,1851.9999999999995
373,1995,IAUARETE ,AM,3422.400000000001
374,1995,IMPERATRIZ ,MA,2146.1
375,1995,ITACOATIARA ,AM,2184.700000000001
376,1995,ITAITUBA ,PA,2146.9000000000005
377,1995,LABREA ,AM,1802.7
378,1995,MACAPA ,AP,2608.1999999999975
379,1995,MANAUS ,AM,2261.4
380,1995,MANICORE ,AM,3079.0000000000023
381,1995,MARABA ,PA,1984.3000000000002
382,1995,MATUPA ,MT,771.7
